video_name,input_size,output_codec,output_size,ssim,psnr,storage_size
Assault036_x264,5.421191,mjpg,5.917056,0.931856867449215,28.65120579896712,1.540032
Assault036_x264,5.421191,mp4v,0.757016,0.9256387958378572,27.9452802471068,0.305007
Assault036_x264,5.421191,avc1,0.204791,0.9302651597413708,28.095114861398244,0.207343
Assault036_x264,5.421191,vp09,2.502065,0.935205502928653,28.06915151851479,0.7818
Assault009_x264,30.447821,mjpg,57.858663,0.8616618123581533,24.91694062599225,15.295995
Assault009_x264,30.447821,mp4v,15.900803,0.8580882242121431,24.73724233187646,6.22094
Assault009_x264,30.447821,avc1,3.986895,0.859867520903075,24.71200167234636,3.857459
Assault009_x264,30.447821,vp09,29.84702,0.8681167902079622,24.69750275844855,8.275803
Fighting016_x264,22.40097,mjpg,56.780104,0.8396332714207793,20.183442911417472,14.466647
Fighting016_x264,22.40097,mp4v,8.388026,0.8392749440434433,20.07427604576493,3.317393
Fighting016_x264,22.40097,avc1,1.554903,0.8434134549829205,20.11003211263248,1.647558
Fighting016_x264,22.40097,vp09,22.57412,0.8479067246951623,20.103635963090063,5.652548
Fighting020_x264,3.961221,mjpg,21.831606,0.3263295188308621,11.784565967352751,5.967815
Fighting020_x264,3.961221,mp4v,8.745024,0.3212040943045646,11.768207416813548,3.489237
Fighting020_x264,3.961221,avc1,2.952759,0.3288916581017216,11.782454708739971,2.483099
Fighting020_x264,3.961221,vp09,17.790944,0.322993602351317,11.761822010336504,5.011692
Fighting049_x264,8.719638,mjpg,11.032239,0.8984427119924846,27.45867715910275,2.868285
Fighting049_x264,8.719638,mp4v,1.819306,0.8921053247712994,26.671773643748597,0.773036
Fighting049_x264,8.719638,avc1,0.574585,0.8965870744662162,26.75834934804015,0.494026
Fighting049_x264,8.719638,vp09,5.400499,0.9014875831303176,26.78680602839617,1.478596
fighting_02,2.779829,mjpg,25.56211,0.686783584618176,18.9787263370181,6.480935
fighting_02,2.779829,mp4v,4.002419,0.6873707360404996,18.746463002429,1.602276
fighting_02,2.779829,avc1,1.146153,0.6878157049871756,18.74658121536976,1.048086
fighting_02,2.779829,vp09,11.972203,0.6876521669604959,18.751009853626023, 2.870018
